Src   Dst   Srvport  Utilized (ns)   Utilization
49    64    NO       26539904        26.54%
76    37    NO       26509024        26.51%
60    26    NO       26416384        26.42%
583   60    YES      26395520        26.40%
76    62    NO       26346560        26.35%
39    60    NO       26290211        26.29%
8     64    NO       26285184        26.29%
650   68    YES      26278336        26.28%
15    18    NO       26264832        26.26%
62    92    NO       26200736        26.20%
709   76    YES      26175424        26.18%
20    42    NO       26165952        26.17%
42    23    NO       26165952        26.17%
9     15    NO       26134528        26.13%
85    783   YES      26132320        26.13%
92    26    NO       26130976        26.13%
1     85    NO       26105152        26.11%
3     8     NO       26088096        26.09%
73    92    NO       26087232        26.09%
96    58    NO       25948292        25.95%
65    55    NO       25282826        25.28%
58    15    NO       24533683        24.53%
45    467   YES      24509193        24.51%
454   44    YES      24465184        24.47%
22    60    NO       23904940        23.90%
46    471   YES      23807904        23.81%
23    42    NO       23654741        23.65%
77    91    NO       22900748        22.90%
612   64    YES      22782548        22.78%
60    580   YES      22588184        22.59%
34    378   YES      22466617        22.47%
570   58    YES      22426976        22.43%
46    44    NO       22242368        22.24%
17    26    NO       22029600        22.03%
45    85    NO       21600736        21.60%
290   23    YES      21582304        21.58%
489   48    YES      21343143        21.34%
20    52    NO       21234400        21.23%
60    585   YES      21221343        21.22%
86    45    NO       21116833        21.12%
49    59    NO       20947664        20.95%
57    39    NO       20354415        20.35%
287   23    YES      20277177        20.28%
75    45    NO       20029645        20.03%
5     142   YES      20018912        20.02%
42    75    NO       19818353        19.82%
309   26    YES      19716768        19.72%
55    547   YES      19235008        19.24%
41    58    NO       19204512        19.20%
39    84    NO       19158272        19.16%
32    26    NO       19156217        19.16%
10    86    NO       19027664        19.03%
26    308   YES      18938016        18.94%
264   20    YES      18705502        18.71%
53    61    NO       18687424        18.69%
88    4     NO       18684496        18.68%
473   46    YES      18658688        18.66%
84    772   YES      18606080        18.61%
61    84    NO       18576288        18.58%
26    311   YES      18357621        18.36%
81    32    NO       18286653        18.29%
7     64    NO       18235168        18.24%
18    65    NO       18148928        18.15%
81    94    NO       18116256        18.12%
44    46    NO       18042037        18.04%
19    96    NO       18010560        18.01%
81    41    NO       17816736        17.82%
496   49    YES      17741792        17.74%
23    77    NO       17738880        17.74%
96    875   YES      17690208        17.69%
87    796   YES      17578934        17.58%
9     178   YES      17494624        17.49%
61    592   YES      17477344        17.48%
308   26    YES      17372721        17.37%
49    73    NO       17315136        17.32%
467   45    YES      17048640        17.05%
13    20    NO       16949739        16.95%
248   18    YES      16816736        16.82%
462   45    YES      16664224        16.66%
4     61    NO       16590304        16.59%
23    59    NO       16549888        16.55%
91    46    NO       16331680        16.33%
45    53    NO       16320000        16.32%
45    19    NO       16305088        16.31%
85    71    NO       16124753        16.12%
59    60    NO       16076544        16.08%
616   64    YES      16053024        16.05%
55    542   YES      16032965        16.03%
44    452   YES      15524000        15.52%
34    60    NO       15467872        15.47%
91    61    NO       15340616        15.34%
52    55    NO       15304896        15.30%
60    22    NO       14883936        14.88%
22    280   YES      14814848        14.81%
460   45    YES      14783584        14.78%
68    85    NO       14675309        14.68%
26    57    NO       14641824        14.64%
20    13    NO       14427680        14.43%
48    98    NO       14406528        14.41%
10    5     NO       14398944        14.40%
187   10    YES      14391392        14.39%
798   87    YES      14350240        14.35%
28    87    NO       14318010        14.32%
41    81    NO       14268896        14.27%
751   81    YES      14253408        14.25%
81    65    NO       14246368        14.25%
587   60    YES      14172192        14.17%
60    587   YES      14164096        14.16%
434   41    YES      14158656        14.16%
77    39    NO       14120375        14.12%
463   45    YES      14046341        14.05%
85    787   YES      13993153        13.99%
44    54    NO       13976064        13.98%
46    475   YES      13919729        13.92%
716   77    YES      13903136        13.90%
60    581   YES      13754720        13.75%
720   77    YES      13720768        13.72%
20    261   YES      13567712        13.57%
10    182   YES      13533988        13.53%
48    490   YES      13525984        13.53%
15    60    NO       13520352        13.52%
26    60    NO       13480896        13.48%
289   23    YES      13413856        13.41%
26    314   YES      13357312        13.36%
472   46    YES      13325984        13.33%
83    68    NO       13300704        13.30%
68    648   YES      13300096        13.30%
64    612   YES      13296352        13.30%
46    20    NO       13295726        13.30%
5     143   YES      13258336        13.26%
10    60    NO       13247488        13.25%
10    7     NO       13224768        13.22%
34    99    NO       13224640        13.22%
48    491   YES      13183936        13.18%
84    74    NO       13157152        13.16%
18    17    NO       13150176        13.15%
457   44    YES      13116768        13.12%
68    14    NO       13114560        13.11%
99    10    NO       13044288        13.04%
184   10    YES      13028864        13.03%
98    10    NO       12876304        12.88%
646   68    YES      12816908        12.82%
749   81    YES      12787072        12.79%
49    86    NO       12751360        12.75%
60    10    NO       12745856        12.75%
45    462   YES      12688224        12.69%
455   44    YES      12546881        12.55%
68    647   YES      12480544        12.48%
41    432   YES      12456801        12.46%
20    46    NO       12441312        12.44%
45    86    NO       12396672        12.40%
61    591   YES      12313312        12.31%
88    46    NO       12301568        12.30%
89    9     NO       12225200        12.23%
49    493   YES      12219552        12.22%
585   60    YES      12214731        12.21%
55    544   YES      12092352        12.09%
44    53    NO       12077152        12.08%
22    13    NO       11967296        11.97%
11    41    NO       11776064        11.78%
41    434   YES      11718464        11.72%
98    96    NO       11558304        11.56%
44    455   YES      11553792        11.55%
64    617   YES      11546336        11.55%
61    593   YES      11539152        11.54%
52    523   YES      11533728        11.53%
648   68    YES      11459616        11.46%
10    184   YES      11420672        11.42%
5     10    NO       11403312        11.40%
41    78    NO       11374976        11.37%
77    35    NO       11360448        11.36%
22    90    NO       11330144        11.33%
22    283   YES      11317952        11.32%
59    23    NO       11298816        11.30%
58    48    NO       11282976        11.28%
46    28    NO       11170944        11.17%
94    81    NO       11166720        11.17%
580   60    YES      11152164        11.15%
493   49    YES      11148745        11.15%
461   45    YES      11096864        11.10%
566   58    YES      11062304        11.06%
276   22    YES      11054656        11.05%
96    870   YES      11028928        11.03%
85    785   YES      11002944        11.00%
88    811   YES      10961824        10.96%
59    10    NO       10958673        10.96%
41    433   YES      10946313        10.95%
185   10    YES      10943008        10.94%
20    262   YES      10904074        10.90%
497   49    YES      10900190        10.90%
53    44    NO       10877376        10.88%
42    20    NO       10864992        10.86%
68    61    NO       10838944        10.84%
85    88    NO       10766217        10.77%
81    748   YES      10758816        10.76%
432   41    YES      10700768        10.70%
260   20    YES      10671840        10.67%
81    88    NO       10659744        10.66%
491   48    YES      10655552        10.66%
87    11    NO       10645824        10.65%
84    779   YES      10643872        10.64%
45    463   YES      10628416        10.63%
54    55    NO       10618208        10.62%
58    570   YES      10616480        10.62%
10    183   YES      10612224        10.61%
180   10    YES      10588768        10.59%
74    20    NO       10563168        10.56%
429   41    YES      10528448        10.53%
147   5     YES      10517760        10.52%
544   55    YES      10516256        10.52%
1     46    NO       10509760        10.51%
773   84    YES      10493664        10.49%
712   76    YES      10491552        10.49%
9     2     NO       10482688        10.48%
10    99    NO       10449504        10.45%
13    55    NO       10441152        10.44%
90    18    NO       10378656        10.38%
431   41    YES      10366142        10.37%
96    21    NO       10353120        10.35%
315   26    YES      10343872        10.34%
71    76    NO       10263728        10.26%
46    88    NO       10174464        10.17%
26    74    NO       10164416        10.16%
18    90    NO       10114592        10.11%
52    517   YES      10090528        10.09%
286   23    YES      10057824        10.06%
57    26    NO       10055520        10.06%
38    60    NO       10049600        10.05%
379   34    YES      9993504         9.99%
20    74    NO       9854816         9.85%
20    89    NO       9848242         9.85%
61    588   YES      9843700         9.84%
46    91    NO       9835520         9.84%
377   34    YES      9821728         9.82%
29    58    NO       9762128         9.76%
21    5     NO       9761856         9.76%
16    48    NO       9719136         9.72%
76    16    NO       9672064         9.67%
96    873   YES      9635872         9.64%
94    52    NO       9635456         9.64%
5     147   YES      9629856         9.63%
88    85    NO       9593216         9.59%
54    5     NO       9587616         9.59%
15    1     NO       9569344         9.57%
57    48    NO       9545632         9.55%
26    92    NO       9534080         9.53%
26    315   YES      9511680         9.51%
873   96    YES      9411584         9.41%
868   96    YES      9349952         9.35%
20    266   YES      9265760         9.27%
808   88    YES      9240640         9.24%
19    9     NO       9236992         9.24%
24    41    NO       9232384         9.23%
6     34    NO       9120416         9.12%
84    54    NO       9106784         9.11%
372   34    YES      9073984         9.07%
18    251   YES      9065376         9.07%
53    52    NO       9048992         9.05%
74    53    NO       9043904         9.04%
58    96    NO       9002528         9.00%
484   48    YES      8986016         8.99%
470   46    YES      8981856         8.98%
374   34    YES      8973952         8.97%
66    34    NO       8966272         8.97%
13    22    NO       8951904         8.95%
799   87    YES      8938080         8.94%
313   26    YES      8902944         8.90%
569   58    YES      8902808         8.90%
49    83    NO       8881152         8.88%
99    29    NO       8875680         8.88%
18    245   YES      8874496         8.87%
94    17    NO       8870016         8.87%
9     173   YES      8864944         8.86%
23    72    NO       8854272         8.85%
750   81    YES      8851744         8.85%
26    34    NO       8848576         8.85%
72    52    NO       8838560         8.84%
521   52    YES      8838496         8.84%
19    55    NO       8830240         8.83%
2     49    NO       8813056         8.81%
44    456   YES      8810816         8.81%
73    66    NO       8809344         8.81%
84    24    NO       8807232         8.81%
26    312   YES      8792832         8.79%
466   45    YES      8791136         8.79%
20    265   YES      8790304         8.79%
46    37    NO       8787776         8.79%
74    64    NO       8783872         8.78%
96    98    NO       8780224         8.78%
375   34    YES      8778592         8.78%
49    497   YES      8770336         8.77%
64    614   YES      8769984         8.77%
23    18    NO       8743488         8.74%
14    22    NO       8724512         8.72%
99    34    NO       8723936         8.72%
589   61    YES      8718592         8.72%
267   20    YES      8707424         8.71%
174   9     YES      8699552         8.70%
35    42    NO       8695904         8.70%
78    38    NO       8695904         8.70%
522   52    YES      8674208         8.67%
73    41    NO       8585312         8.59%
23    28    NO       8578558         8.58%
81    755   YES      8452992         8.45%
90    96    NO       8409152         8.41%
58    29    NO       8349284         8.35%
246   18    YES      8284576         8.28%
90    22    NO       8277568         8.28%
872   96    YES      8207712         8.21%
71    81    NO       8131678         8.13%
0     61    NO       8108920         8.11%
487   48    YES      8081087         8.08%
9     4     NO       8076896         8.08%
787   85    YES      8050293         8.05%
50    87    NO       7882720         7.88%
87    9     NO       7881312         7.88%
86    10    NO       7836992         7.84%
20    263   YES      7754951         7.75%
64    6     NO       7735328         7.74%
38    76    NO       7534204         7.53%
28    23    NO       7521083         7.52%
4     64    NO       7472064         7.47%
619   64    YES      7440224         7.44%
752   81    YES      7323552         7.32%
23    287   YES      7321815         7.32%
874   96    YES      7309252         7.31%
378   34    YES      7268352         7.27%
48    487   YES      7225475         7.23%
618   64    YES      7215008         7.22%
433   41    YES      7167712         7.17%
60    34    NO       7069056         7.07%
44    67    NO       7065856         7.07%
181   10    YES      7036409         7.04%
97    0     NO       7006492         7.01%
96    97    NO       7005504         7.01%
781   85    YES      7002144         7.00%
5     21    NO       6989536         6.99%
593   61    YES      6971936         6.97%
73    49    NO       6952064         6.95%
10    185   YES      6942720         6.94%
96    19    NO       6939424         6.94%
61    53    NO       6916192         6.92%
58    50    NO       6788896         6.79%
784   85    YES      6761086         6.76%
15    13    NO       6748303         6.75%
44    65    NO       6728704         6.73%
52    520   YES      6685888         6.69%
871   96    YES      6661600         6.66%
59    81    NO       6621504         6.62%
23    288   YES      6587264         6.59%
44    25    NO       6574528         6.57%
70    44    NO       6553312         6.55%
499   49    YES      6533504         6.53%
261   20    YES      6495808         6.50%
84    774   YES      6474368         6.47%
49    495   YES      6458304         6.46%
9     179   YES      6452896         6.45%
65    44    NO       6450976         6.45%
77    58    NO       6428352         6.43%
10    187   YES      6423296         6.42%
60    582   YES      6371904         6.37%
34    66    NO       6371328         6.37%
77    720   YES      6352672         6.35%
87    28    NO       6349408         6.35%
81    749   YES      6346880         6.35%
649   68    YES      6328209         6.33%
44    458   YES      6311296         6.31%
55    76    NO       6308736         6.31%
46    53    NO       6298944         6.30%
28    46    NO       6287840         6.29%
96    90    NO       6252416         6.25%
811   88    YES      6210016         6.21%
96    66    NO       6187552         6.19%
55    545   YES      6186246         6.19%
41    430   YES      6172736         6.17%
61    595   YES      6093344         6.09%
88    808   YES      6088832         6.09%
57    49    NO       6076320         6.08%
87    22    NO       6076192         6.08%
45    461   YES      6072672         6.07%
20    88    NO       6055392         6.06%
34    379   YES      5993408         5.99%
4     88    NO       5935392         5.94%
60    38    NO       5932992         5.93%
96    871   YES      5926650         5.93%
55    13    NO       5835168         5.84%
68    12    NO       5824352         5.82%
806   88    YES      5792752         5.79%
85    45    NO       5753248         5.75%
288   23    YES      5747168         5.75%
44    64    NO       5689472         5.69%
782   85    YES      5662176         5.66%
20    6     NO       5638688         5.64%
85    782   YES      5637984         5.64%
718   77    YES      5576992         5.58%
12    48    NO       5564384         5.56%
177   9     YES      5561248         5.56%
490   48    YES      5541696         5.54%
71    23    NO       5524096         5.52%
144   5     YES      5520294         5.52%
278   22    YES      5505440         5.51%
76    711   YES      5489522         5.49%
67    55    NO       5481376         5.48%
10    186   YES      5474368         5.47%
87    798   YES      5469472         5.47%
81    28    NO       5468288         5.47%
21    96    NO       5422432         5.42%
4     10    NO       5392128         5.39%
89    20    NO       5384896         5.38%
55    541   YES      5363008         5.36%
48    16    NO       5339616         5.34%
797   87    YES      5296896         5.30%
25    77    NO       5295456         5.30%
52    86    NO       5293792         5.29%
9     48    NO       5276559         5.28%
54    84    NO       5239712         5.24%
710   76    YES      5239648         5.24%
65    18    NO       5236064         5.24%
45    7     NO       5165632         5.17%
88    20    NO       5159104         5.16%
60    59    NO       5132192         5.13%
28    81    NO       5104064         5.10%
76    55    NO       5082352         5.08%
58    569   YES      5066784         5.07%
59    49    NO       5063488         5.06%
96    872   YES      5055616         5.06%
12    7     NO       5049760         5.05%
10    4     NO       5038048         5.04%
81    752   YES      5019456         5.02%
76    38    NO       4964864         4.96%
520   52    YES      4933792         4.93%
87    803   YES      4917238         4.92%
723   77    YES      4914816         4.91%
53    68    NO       4905632         4.91%
16    44    NO       4868352         4.87%
43    55    NO       4849568         4.85%
60    583   YES      4843808         4.84%
22    43    NO       4835552         4.84%
753   81    YES      4825760         4.83%
68    651   YES      4822208         4.82%
4     9     NO       4810507         4.81%
49    498   YES      4805632         4.81%
18    11    NO       4800640         4.80%
469   46    YES      4784384         4.78%
22    276   YES      4774364         4.77%
498   49    YES      4757536         4.76%
79    87    NO       4753504         4.75%
651   68    YES      4750016         4.75%
76    713   YES      4746448         4.75%
77    723   YES      4722720         4.72%
76    40    NO       4709338         4.71%
22    87    NO       4681504         4.68%
48    9     NO       4680416         4.68%
475   46    YES      4640256         4.64%
86    17    NO       4624096         4.62%
571   58    YES      4607008         4.61%
81    86    NO       4602240         4.60%
88    807   YES      4594208         4.59%
41    435   YES      4576224         4.58%
568   58    YES      4573280         4.57%
88    79    NO       4560608         4.56%
53    46    NO       4557760         4.56%
786   85    YES      4548512         4.55%
141   5     YES      4540384         4.54%
66    73    NO       4539328         4.54%
17    18    NO       4537024         4.54%
19    82    NO       4536224         4.54%
95    5     NO       4533504         4.53%
16    87    NO       4518368         4.52%
45    56    NO       4513920         4.51%
44    16    NO       4511584         4.51%
60    586   YES      4508128         4.51%
68    644   YES      4498656         4.50%
84    777   YES      4479296         4.48%
87    801   YES      4462976         4.46%
459   44    YES      4460128         4.46%
55    540   YES      4433600         4.43%
14    84    NO       4432608         4.43%
76    715   YES      4428128         4.43%
82    18    NO       4427680         4.43%
13    95    NO       4426816         4.43%
34    42    NO       4423520         4.42%
34    26    NO       4397664         4.40%
3     12    NO       4391840         4.39%
55    546   YES      4378944         4.38%
16    59    NO       4374400         4.37%
56    89    NO       4374400         4.37%
247   18    YES      4372544         4.37%
613   64    YES      4366336         4.37%
85    780   YES      4362976         4.36%
29    99    NO       4362112         4.36%
86    83    NO       4357920         4.36%
66    71    NO       4353760         4.35%
40    89    NO       4351744         4.35%
38    99    NO       4348096         4.35%
42    70    NO       4348096         4.35%
98    15    NO       4348096         4.35%
58    41    NO       4338592         4.34%
66    68    NO       4270112         4.27%
266   20    YES      4241664         4.24%
584   60    YES      4219488         4.22%
22    279   YES      4186720         4.19%
565   58    YES      4157032         4.16%
88    41    NO       4124709         4.12%
64    619   YES      4095936         4.10%
64    49    NO       4092544         4.09%
77    23    NO       3989248         3.99%
29    22    NO       3964448         3.96%
68    650   YES      3918432         3.92%
98    48    NO       3911296         3.91%
22    278   YES      3897344         3.90%
48    58    NO       3882560         3.88%
5     140   YES      3848128         3.85%
36    88    NO       3826528         3.83%
46    472   YES      3798304         3.80%
182   10    YES      3771232         3.77%
3     76    NO       3741373         3.74%
74    26    NO       3734912         3.73%
49    494   YES      3732672         3.73%
471   46    YES      3703808         3.70%
94    45    NO       3646688         3.65%
40    76    NO       3635286         3.64%
84    61    NO       3629088         3.63%
10    59    NO       3617792         3.62%
567   58    YES      3615392         3.62%
617   64    YES      3586144         3.59%
87    802   YES      3568832         3.57%
20    40    NO       3555578         3.56%
23    286   YES      3545536         3.55%
285   23    YES      3541378         3.54%
523   52    YES      3533632         3.53%
48    19    NO       3487515         3.49%
10    98    NO       3483616         3.48%
251   18    YES      3457472         3.46%
55    52    NO       3437088         3.44%
19    45    NO       3427232         3.43%
61    590   YES      3413294         3.41%
46    470   YES      3398048         3.40%
81    754   YES      3375904         3.38%
73    4     NO       3372774         3.37%
18    248   YES      3360544         3.36%
774   84    YES      3353888         3.35%
24    34    NO       3333984         3.33%
719   77    YES      3284288         3.28%
25    5     NO       3275936         3.28%
32    81    NO       3271616         3.27%
49    496   YES      3269888         3.27%
96    874   YES      3247072         3.25%
65    81    NO       3242112         3.24%
41    24    NO       3238112         3.24%
85    68    NO       3228160         3.23%
61    5     NO       3225792         3.23%
81    751   YES      3181216         3.18%
582   60    YES      3171904         3.17%
81    753   YES      3170938         3.17%
458   44    YES      3167200         3.17%
5     71    NO       3161986         3.16%
7     10    NO       3111616         3.11%
31    84    NO       3080192         3.08%
452   44    YES      3067232         3.07%
64    4     NO       3057184         3.06%
11    9     NO       3055264         3.06%
5     94    NO       3053056         3.05%
183   10    YES      3036416         3.04%
76    709   YES      2967424         2.97%
64    56    NO       2963040         2.96%
11    10    NO       2954944         2.95%
86    49    NO       2941120         2.94%
41    62    NO       2924234         2.92%
65    87    NO       2923936         2.92%
68    83    NO       2920072         2.92%
26    32    NO       2912896         2.91%
60    15    NO       2903968         2.90%
68    646   YES      2892000         2.89%
143   5     YES      2842144         2.84%
74    84    NO       2830432         2.83%
91    77    NO       2822912         2.82%
722   77    YES      2807264         2.81%
20    260   YES      2799840         2.80%
291   23    YES      2783744         2.78%
77    25    NO       2782336         2.78%
517   52    YES      2778336         2.78%
87    65    NO       2769550         2.77%
61    68    NO       2757504         2.76%
176   9     YES      2725504         2.73%
5     146   YES      2707840         2.71%
547   55    YES      2707104         2.71%
66    23    NO       2679232         2.68%
244   18    YES      2663296         2.66%
95    37    NO       2626800         2.63%
46    473   YES      2616896         2.62%
91    44    NO       2609504         2.61%
62    76    NO       2607504         2.61%
748   81    YES      2598624         2.60%
9     19    NO       2565728         2.57%
54    44    NO       2559008         2.56%
485   48    YES      2554208         2.55%
81    59    NO       2542848         2.54%
81    750   YES      2524128         2.52%
87    799   YES      2513888         2.51%
9     11    NO       2513376         2.51%
245   18    YES      2482400         2.48%
77    66    NO       2465152         2.47%
68    34    NO       2452608         2.45%
19    28    NO       2437207         2.44%
1     87    NO       2365888         2.37%
263   20    YES      2348800         2.35%
178   9     YES      2342528         2.34%
586   60    YES      2340608         2.34%
72    23    NO       2337673         2.34%
495   49    YES      2298016         2.30%
55    91    NO       2293472         2.29%
72    85    NO       2288512         2.29%
87    79    NO       2264128         2.26%
35    96    NO       2253728         2.25%
9     177   YES      2217056         2.22%
519   52    YES      2203584         2.20%
83    98    NO       2193092         2.19%
23    289   YES      2189664         2.19%
140   5     YES      2184128         2.18%
85    1     NO       2157760         2.16%
76    31    NO       2156896         2.16%
56    88    NO       2153888         2.15%
262   20    YES      2151126         2.15%
48    31    NO       2140672         2.14%
0     64    NO       2127840         2.13%
22    29    NO       2125952         2.13%
37    76    NO       2122192         2.12%
49    492   YES      2117568         2.12%
644   68    YES      2114752         2.11%
32    76    NO       2111648         2.11%
783   85    YES      2100032         2.10%
78    41    NO       2095264         2.10%
23    70    NO       2091296         2.09%
6     72    NO       2087136         2.09%
21    36    NO       2087136         2.09%
14    68    NO       2074624         2.07%
591   61    YES      2049120         2.05%
85    15    NO       2048096         2.05%
376   34    YES      2039200         2.04%
70    23    NO       2038944         2.04%
12    68    NO       2032672         2.03%
5     54    NO       2028000         2.03%
59    98    NO       2023008         2.02%
62    34    NO       2016384         2.02%
84    775   YES      2015936         2.02%
93    49    NO       2006848         2.01%
10    181   YES      1999824         2.00%
55    43    NO       1998016         2.00%
68    66    NO       1983648         1.98%
46    0     NO       1981472         1.98%
64    615   YES      1972128         1.97%
46    474   YES      1971104         1.97%
44    70    NO       1970816         1.97%
76    714   YES      1949586         1.95%
44    457   YES      1948864         1.95%
61    91    NO       1934912         1.93%
10    95    NO       1932069         1.93%
90    60    NO       1928608         1.93%
76    32    NO       1922816         1.92%
78    48    NO       1918592         1.92%
172   9     YES      1917600         1.92%
88    81    NO       1916000         1.92%
31    48    NO       1912736         1.91%
52    53    NO       1910528         1.91%
91    55    NO       1901856         1.90%
5     61    NO       1899456         1.90%
76    3     NO       1896896         1.90%
52    94    NO       1888000         1.89%
10    180   YES      1884672         1.88%
55    67    NO       1883616         1.88%
55    543   YES      1881696         1.88%
50    45    NO       1879040         1.88%
71    5     NO       1876765         1.88%
22    282   YES      1873120         1.87%
22    281   YES      1862080         1.86%
84    778   YES      1861792         1.86%
23    38    NO       1857760         1.86%
52    518   YES      1856736         1.86%
90    26    NO       1848064         1.85%
46    468   YES      1840896         1.84%
68    645   YES      1836256         1.84%
12    18    NO       1819648         1.82%
21    46    NO       1816544         1.82%
776   84    YES      1816000         1.82%
56    64    NO       1815616         1.82%
175   9     YES      1804128         1.80%
249   18    YES      1784000         1.78%
48    489   YES      1776928         1.78%
26    313   YES      1758848         1.76%
869   96    YES      1757024         1.76%
48    12    NO       1749888         1.75%
2     37    NO       1745056         1.75%
21    56    NO       1743040         1.74%
3     90    NO       1739392         1.74%
7     12    NO       1739392         1.74%
7     21    NO       1739392         1.74%
15    7     NO       1739392         1.74%
19    39    NO       1739392         1.74%
29    36    NO       1739392         1.74%
42    78    NO       1739392         1.74%
79    93    NO       1739392         1.74%
86    13    NO       1739392         1.74%
46    469   YES      1672288         1.67%
59    16    NO       1670560         1.67%
311   26    YES      1625184         1.63%
85    72    NO       1611648         1.61%
142   5     YES      1602336         1.60%
34    6     NO       1574752         1.57%
7     45    NO       1571456         1.57%
64    74    NO       1571456         1.57%
86    81    NO       1567072         1.57%
8     21    NO       1565600         1.57%
796   87    YES      1519712         1.52%
15    85    NO       1481440         1.48%
592   61    YES      1477056         1.48%
87    16    NO       1475008         1.48%
435   41    YES      1456608         1.46%
711   76    YES      1443232         1.44%
875   96    YES      1433632         1.43%
541   55    YES      1362912         1.36%
280   22    YES      1350656         1.35%
84    14    NO       1333440         1.33%
5     144   YES      1314784         1.31%
58    568   YES      1308992         1.31%
66    77    NO       1308224         1.31%
58    571   YES      1303200         1.30%
615   64    YES      1300032         1.30%
56    45    NO       1295360         1.30%
23    291   YES      1287648         1.29%
67    44    NO       1270816         1.27%
9     172   YES      1269888         1.27%
55    54    NO       1267584         1.27%
71    85    NO       1258464         1.26%
6     29    NO       1235520         1.24%
284   23    YES      1230880         1.23%
53    98    NO       1219904         1.22%
647   68    YES      1216352         1.22%
45    465   YES      1212864         1.21%
52    516   YES      1192960         1.19%
5     95    NO       1183968         1.18%
45    460   YES      1183200         1.18%
89    96    NO       1163262         1.16%
721   77    YES      1158160         1.16%
314   26    YES      1156928         1.16%
282   22    YES      1153120         1.15%
594   61    YES      1141472         1.14%
28    0     NO       1139968         1.14%
15    58    NO       1139712         1.14%
61    54    NO       1139552         1.14%
77    717   YES      1127616         1.13%
41    8     NO       1116288         1.12%
717   77    YES      1111520         1.11%
34    24    NO       1102368         1.10%
775   84    YES      1095552         1.10%
23    71    NO       1094176         1.09%
85    93    NO       1089856         1.09%
84    776   YES      1088192         1.09%
516   52    YES      1073152         1.07%
283   22    YES      1061952         1.06%
88    56    NO       1057632         1.06%
49    2     NO       1053120         1.05%
67    81    NO       1051520         1.05%
41    11    NO       1049856         1.05%
26    90    NO       1049472         1.05%
67    22    NO       1045376         1.05%
56    49    NO       1043904         1.04%
34    377   YES      1029536         1.03%
10    11    NO       1028992         1.03%
645   68    YES      1020256         1.02%
45    50    NO       1014848         1.01%
778   84    YES      1013600         1.01%
34    62    NO       1005984         1.01%
37    46    NO       1005280         1.01%
67    4     NO       987808          0.99%
810   88    YES      973664          0.97%
453   44    YES      961440          0.96%
34    375   YES      954784          0.95%
43    22    NO       954112          0.95%
28    62    NO       948512          0.95%
779   84    YES      947776          0.95%
373   34    YES      946080          0.95%
80    9     NO       941696          0.94%
25    65    NO       940416          0.94%
61    4     NO       934688          0.93%
18    246   YES      932288          0.93%
46    1     NO       930016          0.93%
36    91    NO       919200          0.92%
88    36    NO       919200          0.92%
93    84    NO       917184          0.92%
11    28    NO       915744          0.92%
88    809   YES      912800          0.91%
41    429   YES      912160          0.91%
804   88    YES      911296          0.91%
84    773   YES      909376          0.91%
