FlowId     Src   Dst   Sent (byte)  Total (byte) Duration (ms)  Progress  
58         485   774   10000        10000        0.03           100.00%
59         182   868   1000000      1000000      0.88           100.00%
60         713   646   80000        80000        0.09           100.00%
61         644   775   1000000      1000000      0.88           100.00%
62         428   804   10000        10000        0.02           100.00%
63         459   467   50000        50000        0.14           100.00%
64         613   803   2000000      2000000      1.75           100.00%
65         485   285   80000        80000        0.08           100.00%
66         723   711   200000       200000       0.18           100.00%
67         715   172   30000        30000        0.04           100.00%
68         187   806   30000        30000        0.03           100.00%
69         543   774   80000        80000        0.08           100.00%
70         488   776   1000000      1000000      0.88           100.00%
71         266   810   50000        50000        0.05           100.00%
72         803   493   30000        30000        0.04           100.00%
73         490   749   5000000      5000000      4.36           100.00%
74         806   568   1000000      1000000      0.88           100.00%
75         619   475   2000000      2000000      1.75           100.00%
76         289   587   5000000      5000000      4.35           100.00%
77         807   868   30000000     30000000     26.39          100.00%
78         868   583   2000000      2000000      2.11           100.00%
79         593   143   2000000      2000000      1.74           100.00%
80         589   434   10000000     10000000     8.93           100.00%
81         279   246   50000        50000        0.05           100.00%
82         453   186   80000        80000        0.08           100.00%
83         498   546   10000        10000        0.02           100.00%
84         434   147   50000        50000        0.06           100.00%
85         286   248   20000        20000        0.02           100.00%
86         868   266   200000       200000       0.90           100.00%
87         469   753   10000        10000        0.02           100.00%
88         495   260   2000000      2000000      1.86           100.00%
89         780   378   10000        10000        0.02           100.00%
90         372   452   30000        30000        0.04           100.00%
91         801   434   200000       200000       0.37           100.00%
92         474   580   50000        50000        0.05           100.00%
93         798   432   10000000     10000000     8.71           100.00%
94         811   262   10000        10000        0.01           100.00%
95         264   585   10000000     10000000     14.30          100.00%
96         780   495   200000       200000       0.26           100.00%
97         708   750   30000        30000        0.03           100.00%
98         471   648   2000000      2000000      1.75           100.00%
99         547   375   80000        80000        0.08           100.00%
100        377   717   1000000      1000000      0.88           100.00%
101        260   379   5000000      5000000      4.92           100.00%
102        566   291   80000        80000        0.08           100.00%
103        785   754   10000        10000        0.02           100.00%
104        568   459   30000        30000        0.03           100.00%
105        376   716   80000        80000        0.08           100.00%
106        587   310   10000000     10000000     15.69          100.00%
107        710   874   2000000      2000000      1.76           100.00%
108        775   312   80000        80000        0.16           100.00%
109        379   755   5000000      5000000      4.69           100.00%
110        464   262   5000000      5000000      4.36           100.00%
111        806   870   50000        50000        0.05           100.00%
112        723   485   5000000      5000000      4.76           100.00%
113        462   595   1000000      1000000      0.88           100.00%
114        288   585   1000000      1000000      2.36           100.00%
115        541   172   80000        80000        0.08           100.00%
116        784   434   50000        50000        0.13           100.00%
117        459   517   200000       200000       0.18           100.00%
118        773   592   10000        10000        0.02           100.00%
119        247   799   10000        10000        0.02           100.00%
120        718   290   1000000      1000000      0.94           100.00%
121        782   807   20000        20000        0.08           100.00%
122        378   565   200000       200000       0.18           100.00%
123        308   498   5000000      5000000      4.35           100.00%
124        516   874   10000        10000        0.03           100.00%
125        376   589   80000        80000        0.15           100.00%
126        566   285   80000        80000        0.14           100.00%
127        517   462   80000        80000        0.11           100.00%
128        375   547   10000        10000        0.02           100.00%
129        568   785   80000        80000        0.10           100.00%
130        584   778   2000000      2000000      1.75           100.00%
131        807   567   20000        20000        0.11           100.00%
132        288   568   10000        10000        0.03           100.00%
133        473   545   80000        80000        0.08           100.00%
134        806   281   10000        10000        0.02           100.00%
135        542   615   2000000      2000000      2.27           100.00%
136        748   464   10000        10000        0.06           100.00%
137        786   750   30000        30000        0.03           100.00%
138        433   372   30000        30000        0.03           100.00%
139        542   485   30000000     30000000     28.97          100.00%
140        755   488   10000        10000        0.02           100.00%
141        797   519   10000        10000        0.03           100.00%
142        147   612   10000000     10000000     9.62           100.00%
143        375   875   50000        50000        0.10           100.00%
144        281   591   10000        10000        0.02           100.00%
145        521   494   80000        80000        0.13           100.00%
146        140   280   10000        10000        0.02           100.00%
147        475   278   2000000      2000000      1.75           100.00%
148        454   772   5000000      5000000      4.48           100.00%
149        290   523   10000000     10000000     9.85           100.00%
150        805   802   50000        50000        0.05           100.00%
151        712   755   2000000      2000000      1.75           100.00%
152        378   775   50000        50000        0.05           100.00%
153        720   776   30000        30000        0.03           100.00%
154        283   260   80000        80000        0.08           100.00%
155        313   265   50000        50000        0.05           100.00%
156        309   455   10000000     10000000     9.69           100.00%
157        261   456   5000000      5000000      4.81           100.00%
158        473   522   2000000      2000000      8.08           100.00%
159        540   644   10000        10000        0.02           100.00%
160        433   144   10000        10000        0.02           100.00%
161        184   750   10000        10000        0.02           100.00%
162        749   495   5000000      5000000      4.40           100.00%
163        870   541   5000000      5000000      4.80           100.00%
164        377   474   80000        80000        0.35           100.00%
165        717   584   80000        80000        0.08           100.00%
166        523   751   2000000      2000000      1.88           100.00%
167        496   587   10000000     10000000     9.08           100.00%
168        172   147   80000        80000        0.15           100.00%
169        719   648   10000        10000        0.02           100.00%
170        540   262   200000       200000       0.29           100.00%
171        569   186   10000        10000        0.02           100.00%
172        265   290   30000000     30000000     27.38          100.00%
173        754   775   50000        50000        0.10           100.00%
174        378   454   5000000      5000000      4.88           100.00%
175        614   493   30000        30000        0.03           100.00%
176        872   595   5000000      5000000      4.38           100.00%
177        178   473   1000000      1000000      0.89           100.00%
178        647   615   10000        10000        0.02           100.00%
179        313   267   80000        80000        0.15           100.00%
180        291   588   30000        30000        0.07           100.00%
181        782   750   1000000      1000000      1.75           100.00%
182        784   811   1000000      1000000      1.29           100.00%
183        571   716   5000000      5000000      4.36           100.00%
184        710   650   50000        50000        0.05           100.00%
185        545   484   30000        30000        0.12           100.00%
186        435   784   10000        10000        0.08           100.00%
187        783   754   10000        10000        0.02           100.00%
188        435   465   30000        30000        0.05           100.00%
189        494   717   50000        50000        0.05           100.00%
190        582   592   80000        80000        0.08           100.00%
191        612   431   200000       200000       0.20           100.00%
192        308   378   10000000     10000000     9.21           100.00%
193        248   473   50000        50000        0.05           100.00%
194        801   497   10000        10000        0.02           100.00%
195        143   719   1000000      1000000      0.88           100.00%
196        585   312   10000000     10000000     10.88          100.00%
197        279   468   2000000      2000000      2.28           100.00%
198        712   491   10000000     10000000     10.91          100.00%
199        246   787   200000       200000       0.18           100.00%
200        309   805   20000        20000        0.11           100.00%
201        776   647   1000000      1000000      0.88           100.00%
202        279   465   80000        80000        0.18           100.00%
203        185   457   10000        10000        0.02           100.00%
204        804   544   1000000      1000000      0.88           100.00%
205        517   176   200000       200000       0.38           100.00%
206        372   520   5000000      5000000      4.51           100.00%
207        463   251   5000000      5000000      4.44           100.00%
208        567   496   1000000      1000000      1.10           100.00%
209        143   495   1000000      1000000      1.68           100.00%
210        716   584   50000        50000        0.06           100.00%
211        520   875   80000        80000        0.18           100.00%
212        263   522   2000000      2000000      4.09           100.00%
213        491   800   30000        30000        0.04           100.00%
214        773   542   10000000     10000000     10.72          100.00%
215        430   469   200000       200000       0.18           100.00%
216        452   719   10000        10000        0.02           100.00%
217        432   570   10000        10000        0.01           100.00%
218        491   875   10000000     10000000     13.83          100.00%
219        471   807   10000        10000        0.05           100.00%
220        565   452   80000        80000        0.08           100.00%
221        802   470   1000000      1000000      0.88           100.00%
222        463   520   80000        80000        0.45           100.00%
223        315   265   1000000      1000000      1.81           100.00%
224        373   286   1000000      1000000      0.88           100.00%
225        714   521   10000        10000        0.02           100.00%
226        313   459   10000        10000        0.06           100.00%
227        782   172   10000        10000        0.02           100.00%
228        787   432   2000000      2000000      1.75           100.00%
229        279   459   30000000     30000000     28.72          100.00%
230        785   616   30000000     30000000     27.91          100.00%
231        616   580   10000000     10000000     10.61          100.00%
232        144   617   2000000      2000000      1.75           100.00%
233        520   471   10000        10000        0.06           100.00%
234        376   588   1000000      1000000      0.88           100.00%
235        289   571   10000        10000        0.02           100.00%
236        314   772   30000        30000        0.15           100.00%
237        522   772   1000000      1000000      1.09           100.00%
238        247   875   5000000      5000000      6.51           100.00%
239        433   491   2000000      2000000      3.54           100.00%
240        459   870   30000        30000        0.04           100.00%
241        718   749   80000        80000        0.08           100.00%
242        717   431   20000        20000        0.02           100.00%
243        290   430   50000        50000        0.15           100.00%
244        615   593   80000        80000        0.08           100.00%
245        486   777   10000        10000        0.02           100.00%
246        786   719   200000       200000       0.18           100.00%
247        646   147   30000        30000        0.03           100.00%
248        753   285   80000        80000        0.08           100.00%
249        651   777   5000000      5000000      5.43           100.00%
250        490   781   80000        80000        0.09           100.00%
251        378   172   1000000      1000000      1.00           100.00%
252        723   499   50000        50000        0.06           100.00%
253        774   466   200000       200000       0.21           100.00%
254        778   487   1000000      1000000      0.88           100.00%
255        461   523   2000000      2000000      4.33           100.00%
256        750   719   10000000     10000000     11.16          100.00%
257        276   248   80000        80000        0.08           100.00%
258        467   493   1000000      1000000      1.13           100.00%
259        787   288   30000        30000        0.03           100.00%
260        244   581   80000        80000        0.08           100.00%
261        650   464   30000000     30000000     29.64          100.00%
262        145   454   30000000     30000000     31.39          100.00%
263        466   592   5000000      5000000      8.84           100.00%
264        291   588   10000        10000        0.02           100.00%
265        570   180   200000       200000       0.19           100.00%
266        591   541   1000000      1000000      1.41           100.00%
267        466   245   5000000      5000000      7.19           100.00%
268        619   474   20000        20000        0.04           100.00%
269        774   310   1000000      1000000      0.88           100.00%
270        489   454   1000000      1000000      2.24           100.00%
271        282   264   1000000      1000000      0.88           100.00%
272        717   645   30000        30000        0.03           100.00%
273        143   466   30000        30000        0.14           100.00%
274        522   571   30000        30000        0.14           100.00%
275        803   313   10000        10000        0.02           100.00%
276        648   283   10000000     10000000     9.67           100.00%
277        616   805   10000        10000        0.07           100.00%
278        173   281   10000        10000        0.02           100.00%
279        802   520   2000000      2000000      1.75           100.00%
280        143   805   30000        30000        0.04           100.00%
281        871   811   80000        80000        0.08           100.00%
282        540   277   10000        10000        0.02           100.00%
283        265   711   50000        50000        0.17           100.00%
284        244   265   30000        30000        0.08           100.00%
285        487   248   2000000      2000000      1.82           100.00%
286        182   265   80000        80000        0.15           100.00%
287        181   472   20000        20000        0.03           100.00%
288        647   251   80000        80000        0.14           100.00%
289        802   566   30000000     30000000     26.66          100.00%
290        179   517   200000       200000       0.21           100.00%
291        755   517   10000000     10000000     8.75           100.00%
292        585   872   80000        80000        0.08           100.00%
293        713   431   30000000     30000000     30.81          100.00%
294        751   718   10000        10000        0.03           100.00%
295        280   453   30000        30000        0.21           100.00%
296        565   710   10000        10000        0.02           100.00%
297        484   187   50000        50000        0.10           100.00%
298        722   749   1000000      1000000      0.88           100.00%
299        277   708   50000        50000        0.05           100.00%
300        582   719   2000000      2000000      4.13           100.00%
301        587   774   5000000      5000000      6.05           100.00%
302        718   748   80000        80000        0.08           100.00%
303        374   453   200000       200000       0.18           100.00%
304        566   772   30000        30000        0.04           100.00%
305        570   801   5000000      5000000      4.94           100.00%
306        286   787   50000        50000        0.05           100.00%
307        804   184   10000        10000        0.02           100.00%
308        649   314   1000000      1000000      0.88           100.00%
309        286   498   30000        30000        0.03           100.00%
310        715   266   50000        50000        0.05           100.00%
311        751   612   80000        80000        0.08           100.00%
312        569   647   2000000      2000000      3.25           100.00%
313        475   452   2000000      2000000      1.75           100.00%
314        571   485   200000       200000       0.31           100.00%
315        753   542   50000        50000        0.05           100.00%
316        722   613   20000        20000        0.03           100.00%
317        265   309   20000        20000        0.10           100.00%
318        249   142   2000000      2000000      1.75           100.00%
319        280   542   80000        80000        0.08           100.00%
320        493   874   50000        50000        0.10           100.00%
321        432   186   1000000      1000000      0.88           100.00%
322        177   431   200000       200000       0.30           100.00%
323        807   593   10000000     10000000     8.77           100.00%
324        750   615   10000        10000        0.02           100.00%
325        464   145   30000000     30000000     41.14          100.00%
326        720   182   200000       200000       0.20           100.00%
327        565   474   80000        80000        0.09           100.00%
328        570   777   50000        50000        0.09           100.00%
329        379   569   10000        10000        0.03           100.00%
330        522   265   5000000      5000000      5.13           100.00%
331        800   518   30000        30000        0.04           100.00%
332        616   378   5000000      5000000      4.74           100.00%
333        465   777   80000        80000        0.15           100.00%
334        489   471   200000       200000       0.35           100.00%
335        711   810   50000        50000        0.10           100.00%
336        547   455   200000       200000       0.18           100.00%
337        712   492   30000        30000        0.04           100.00%
338        713   580   80000        80000        0.11           100.00%
339        801   721   10000        10000        0.10           100.00%
340        473   781   10000        10000        0.02           100.00%
341        519   471   2000000      2000000      1.76           100.00%
342        180   522   10000000     10000000     9.12           100.00%
343        376   773   80000        80000        0.08           100.00%
344        288   430   5000000      5000000      4.82           100.00%
345        284   140   200000       200000       0.18           100.00%
346        144   796   1000000      1000000      1.35           100.00%
347        584   475   50000        50000        0.05           100.00%
348        617   499   80000        80000        0.07           100.00%
349        751   543   1000000      1000000      0.88           100.00%
350        310   589   30000        30000        0.04           100.00%
351        544   261   50000        50000        0.09           100.00%
352        875   720   20000        20000        0.02           100.00%
353        248   315   10000000     10000000     8.70           100.00%
354        471   260   50000        50000        0.05           100.00%
355        494   615   80000        80000        0.07           100.00%
356        276   713   10000        10000        0.08           100.00%
357        752   780   5000000      5000000      4.35           100.00%
358        465   485   50000        50000        0.24           100.00%
359        581   650   10000        10000        0.02           100.00%
360        753   519   50000        50000        0.08           100.00%
361        713   459   30000        30000        0.24           100.00%
362        590   517   20000        20000        0.11           100.00%
363        543   462   10000        10000        0.02           100.00%
364        262   565   50000        50000        0.05           100.00%
365        809   647   50000        50000        0.05           100.00%
366        714   456   30000        30000        0.03           100.00%
367        722   490   80000        80000        0.08           100.00%
368        497   614   50000        50000        0.05           100.00%
369        873   182   10000000     10000000     8.70           100.00%
370        647   289   50000        50000        0.05           100.00%
371        615   721   80000        80000        0.09           100.00%
372        713   185   5000000      5000000      10.81          100.00%
373        499   288   5000000      5000000      4.60           100.00%
374        568   433   20000        20000        0.02           100.00%
375        372   428   80000        80000        0.10           100.00%
376        782   463   5000000      5000000      4.35           100.00%
377        250   774   20000        20000        0.02           100.00%
378        801   172   10000        10000        0.01           100.00%
379        184   278   2000000      2000000      1.80           100.00%
380        465   260   30000        30000        0.04           100.00%
381        469   781   10000        10000        0.02           100.00%
382        618   251   5000000      5000000      4.94           100.00%
383        251   748   2000000      2000000      1.99           100.00%
384        484   290   50000        50000        0.14           100.00%
385        714   485   80000        80000        0.16           100.00%
386        647   785   80000        80000        0.16           100.00%
387        279   177   2000000      2000000      3.57           100.00%
388        800   751   80000        80000        0.13           100.00%
389        711   491   1000000      1000000      0.88           100.00%
390        796   453   80000        80000        0.08           100.00%
391        494   618   30000000     30000000     35.98          100.00%
392        276   722   80000        80000        0.08           100.00%
393        433   651   5000000      5000000      4.44           100.00%
394        289   465   50000        50000        0.06           100.00%
395        245   754   50000        50000        0.10           100.00%
396        709   314   20000        20000        0.02           100.00%
397        315   379   10000        10000        0.01           100.00%
398        547   285   30000        30000        0.04           100.00%
399        375   592   10000000     10000000     8.70           100.00%
400        808   452   10000000     10000000     13.19          100.00%
401        810   288   10000        10000        0.08           100.00%
402        775   143   1000000      1000000      0.88           100.00%
403        172   465   1000000      1000000      0.88           100.00%
404        261   430   10000        10000        0.02           100.00%
405        581   498   80000        80000        0.09           100.00%
406        458   617   1000000      1000000      0.97           100.00%
407        462   475   2000000      2000000      2.69           100.00%
408        808   772   80000        80000        0.24           100.00%
409        616   711   10000        10000        0.03           100.00%
410        376   802   1000000      1000000      1.91           100.00%
411        312   485   10000        10000        0.02           100.00%
412        185   279   2000000      2000000      2.76           100.00%
413        264   185   10000        10000        0.02           100.00%
414        751   648   30000        30000        0.07           100.00%
415        434   647   200000       200000       0.18           100.00%
416        493   612   200000       200000       0.29           100.00%
417        581   454   1000000      1000000      1.42           100.00%
418        720   475   5000000      5000000      5.03           100.00%
419        428   309   30000000     30000000     29.34          100.00%
420        290   547   10000000     10000000     18.38          100.00%
421        590   570   200000       200000       0.19           100.00%
422        545   810   10000        10000        0.02           100.00%
423        251   585   30000        30000        0.04           100.00%
424        749   459   10000        10000        0.02           100.00%
425        374   285   30000        30000        0.03           100.00%
426        615   647   80000        80000        0.08           100.00%
427        244   377   30000        30000        0.03           100.00%
428        455   545   5000000      5000000      5.46           100.00%
429        749   870   5000000      5000000      4.38           100.00%
430        494   462   10000000     10000000     19.81          100.00%
431        183   474   2000000      2000000      1.75           100.00%
432        799   591   2000000      2000000      1.75           100.00%
433        803   783   30000000     30000000     26.20          100.00%
434        498   646   50000        50000        0.15           100.00%
435        452   286   2000000      2000000      1.91           100.00%
436        267   547   10000000     10000000     10.69          100.00%
437        291   428   2000000      2000000      2.07           100.00%
438        464   435   5000000      5000000      9.22           100.00%
439        184   717   10000        10000        0.02           100.00%
440        589   720   10000        10000        0.07           100.00%
441        785   262   10000        10000        0.09           100.00%
442        613   146   1000000      1000000      0.89           100.00%
443        568   871   10000        10000        0.02           100.00%
444        486   146   10000        10000        0.03           100.00%
445        179   244   30000000     30000000     31.06          100.00%
446        709   310   30000000     30000000     32.70          100.00%
447        722   870   10000        10000        0.02           100.00%
448        871   567   80000        80000        0.11           100.00%
449        519   490   10000        10000        0.02           100.00%
450        260   141   80000        80000        0.14           100.00%
451        428   251   80000        80000        0.27           100.00%
452        546   811   30000        30000        0.14           100.00%
453        811   457   1000000      1000000      1.29           100.00%
454        496   378   10000000     10000000     8.78           100.00%
455        774   314   2000000      2000000      1.75           100.00%
456        180   140   2000000      2000000      2.78           100.00%
457        177   808   5000000      5000000      4.66           100.00%
458        308   140   2000000      2000000      3.43           100.00%
459        430   519   50000        50000        0.05           100.00%
460        290   452   2000000      2000000      2.31           100.00%
461        181   289   1000000      1000000      0.88           100.00%
462        261   804   200000       200000       0.18           100.00%
463        722   172   80000        80000        0.08           100.00%
464        246   377   200000       200000       0.18           100.00%
465        808   721   50000        50000        0.13           100.00%
466        184   709   1000000      1000000      1.07           100.00%
467        523   291   10000        10000        0.02           100.00%
468        175   800   10000        10000        0.01           100.00%
469        288   751   30000        30000        0.04           100.00%
470        582   469   1000000      1000000      0.88           100.00%
471        615   874   1000000      1000000      0.95           100.00%
472        248   456   5000000      5000000      5.00           100.00%
473        464   779   2000000      2000000      4.87           100.00%
474        245   464   1000000      1000000      2.54           100.00%
475        454   540   5000000      5000000      4.58           100.00%
476        719   496   80000        80000        0.16           100.00%
477        749   462   2000000      2000000      3.47           100.00%
478        185   618   5000000      5000000      8.15           100.00%
479        262   291   80000        80000        0.08           100.00%
480        581   264   30000000     30000000     31.17          100.00%
481        646   433   10000        10000        0.02           100.00%
482        777   289   10000        10000        0.02           100.00%
483        145   874   20000        20000        0.04           100.00%
484        435   144   1000000      1000000      0.89           100.00%
485        797   248   30000        30000        0.03           100.00%
486        178   286   80000        80000        0.08           100.00%
487        586   267   30000        30000        0.07           100.00%
488        377   280   10000000     10000000     9.57           100.00%
489        452   518   20000        20000        0.03           100.00%
490        774   810   80000        80000        0.12           100.00%
491        176   594   50000        50000        0.06           100.00%
492        749   581   2000000      2000000      2.68           100.00%
493        473   452   80000        80000        0.14           100.00%
494        776   313   1000000      1000000      0.88           100.00%
495        262   868   80000        80000        0.08           100.00%
496        282   264   80000        80000        0.15           100.00%
497        145   648   2000000      2000000      2.72           100.00%
498        372   870   10000        10000        0.02           100.00%
499        798   545   50000        50000        0.05           100.00%
500        278   244   5000000      5000000      8.52           100.00%
501        810   585   1000000      1000000      1.88           100.00%
502        811   429   80000        80000        0.07           100.00%
503        644   717   30000        30000        0.03           100.00%
504        264   787   5000000      5000000      4.73           100.00%
505        585   290   10000        10000        0.02           100.00%
506        800   262   200000       200000       0.20           100.00%
507        251   804   50000        50000        0.05           100.00%
508        752   470   2000000      2000000      3.14           100.00%
509        260   803   1000000      1000000      1.06           100.00%
510        716   496   1000000      1000000      1.94           100.00%
511        586   594   30000        30000        0.07           100.00%
512        461   748   10000000     10000000     14.76          100.00%
513        455   645   2000000      2000000      1.77           100.00%
514        467   543   1000000      1000000      1.15           100.00%
515        585   284   80000        80000        0.08           100.00%
516        773   495   50000        50000        0.05           100.00%
517        469   589   30000        30000        0.03           100.00%
518        594   143   80000        80000        0.08           100.00%
519        586   495   1000000      1000000      1.18           100.00%
520        644   571   1000000      1000000      0.88           100.00%
521        278   811   1000000      1000000      1.17           100.00%
522        798   289   30000        30000        0.03           100.00%
523        248   309   2000000      2000000      2.99           100.00%
524        289   772   10000000     10000000     14.05          100.00%
525        868   583   50000        50000        0.05           100.00%
526        172   184   1000000      1000000      0.88           100.00%
527        314   373   10000        10000        0.01           100.00%
528        484   584   200000       200000       0.18           100.00%
529        264   583   10000        10000        0.09           100.00%
530        372   315   50000        50000        0.05           100.00%
531        314   868   10000        10000        0.02           100.00%
532        265   592   5000000      5000000      7.06           100.00%
533        144   772   50000        50000        0.10           100.00%
534        616   462   1000000      1000000      1.40           100.00%
535        712   264   30000        30000        0.15           100.00%
536        755   185   2000000      2000000      2.06           100.00%
537        781   142   10000        10000        0.02           100.00%
538        710   469   10000        10000        0.03           100.00%
539        283   470   20000        20000        0.03           100.00%
540        784   723   5000000      5000000      8.46           100.00%
541        516   584   1000000      1000000      0.94           100.00%
542        185   487   2000000      2000000      2.54           100.00%
543        469   492   200000       200000       0.18           100.00%
544        581   714   50000        50000        0.08           100.00%
545        266   281   2000000      2000000      1.76           100.00%
546        265   452   1000000      1000000      1.49           100.00%
547        753   245   5000000      5000000      4.45           100.00%
548        777   308   80000        80000        0.08           100.00%
549        570   142   1000000      1000000      0.95           100.00%
550        374   711   80000        80000        0.09           100.00%
551        545   799   20000        20000        0.03           100.00%
552        276   807   2000000      2000000      1.75           100.00%
553        473   796   10000000     10000000     9.32           100.00%
554        516   245   10000        10000        0.10           100.00%
555        772   710   30000000     30000000     38.69          100.00%
556        463   710   10000000     10000000     23.68          100.00%
557        811   375   20000        20000        0.02           100.00%
558        874   712   50000        50000        0.05           100.00%
559        594   244   80000        80000        0.20           100.00%
560        454   523   10000        10000        0.02           100.00%
561        720   567   30000        30000        0.03           100.00%
562        433   308   200000       200000       0.20           100.00%
563        261   615   50000        50000        0.05           100.00%
564        461   779   200000       200000       0.23           100.00%
565        519   264   50000        50000        0.10           100.00%
566        495   281   10000        10000        0.02           100.00%
567        755   456   10000        10000        0.02           100.00%
568        811   544   10000        10000        0.05           100.00%
569        183   264   50000        50000        0.10           100.00%
570        265   614   10000000     10000000     9.89           100.00%
571        455   564   20000        20000        0.02           100.00%
572        264   651   80000        80000        0.12           100.00%
573        708   313   200000       200000       0.18           100.00%
574        266   544   2000000      2000000      1.75           100.00%
575        717   750   1000000      1000000      0.89           100.00%
576        250   581   80000        80000        0.17           100.00%
577        799   430   2000000      2000000      1.99           100.00%
578        811   584   50000        50000        0.05           100.00%
579        372   174   50000        50000        0.05           100.00%
580        428   873   30000        30000        0.14           100.00%
581        710   490   20000        20000        0.10           100.00%
582        315   873   10000000     10000000     8.86           100.00%
583        523   808   1000000      1000000      1.59           100.00%
584        471   286   10000        10000        0.02           100.00%
585        586   180   1000000      1000000      0.88           100.00%
586        754   499   30000000     30000000     30.67          100.00%
587        186   309   50000        50000        0.11           100.00%
588        145   776   10000        10000        0.02           100.00%
589        467   452   200000       200000       0.18           100.00%
590        710   748   80000        80000        0.19           100.00%
591        519   431   80000        80000        0.17           100.00%
592        547   283   1000000      1000000      0.95           100.00%
593        376   458   10000        10000        0.02           100.00%
594        431   377   30000        30000        0.08           100.00%
595        570   183   5000000      5000000      4.36           100.00%
596        377   245   30000        30000        0.04           100.00%
597        434   583   50000        50000        0.06           100.00%
598        430   614   10000        10000        0.02           100.00%
599        798   379   1000000      1000000      0.95           100.00%
600        251   428   1000000      1000000      1.29           100.00%
601        176   314   2000000      2000000      4.98           100.00%
602        472   291   50000        50000        0.16           100.00%
603        649   783   10000        10000        0.02           100.00%
604        719   145   30000        30000        0.05           100.00%
605        484   308   10000000     10000000     14.98          100.00%
606        433   490   30000        30000        0.03           100.00%
607        519   375   50000        50000        0.05           100.00%
608        519   492   200000       200000       0.19           100.00%
609        473   289   200000       200000       0.38           100.00%
610        753   649   80000        80000        0.08           100.00%
611        472   262   2000000      2000000      1.74           100.00%
612        583   716   30000000     30000000     27.79          100.00%
613        617   775   1000000      1000000      0.95           100.00%
614        614   588   20000        20000        0.03           100.00%
615        175   543   50000        50000        0.05           100.00%
616        523   615   10000        10000        0.02           100.00%
617        594   465   20000        20000        0.02           100.00%
618        802   569   5000000      5000000      4.35           100.00%
619        870   719   27264660     30000000     35.00    (DNF) 90.88%
620        580   644   5000000      5000000      4.40           100.00%
621        799   471   5000000      5000000      4.71           100.00%
622        460   787   10000000     10000000     13.45          100.00%
623        467   778   50000        50000        0.14           100.00%
624        779   489   50000        50000        0.05           100.00%
625        309   147   10000000     10000000     10.67          100.00%
626        313   490   10000000     10000000     12.06          100.00%
627        617   493   2000000      2000000      1.85           100.00%
628        488   282   10000        10000        0.02           100.00%
629        749   613   200000       200000       0.18           100.00%
630        260   582   5000000      5000000      10.34          100.00%
631        518   282   50000        50000        0.12           100.00%
632        583   594   50000        50000        0.27           100.00%
633        457   581   10000000     10000000     17.76          100.00%
634        472   263   1000000      1000000      1.12           100.00%
635        429   308   10000000     10000000     13.89          100.00%
636        517   711   2000000      2000000      1.82           100.00%
637        141   796   80000        80000        0.14           100.00%
